Deck,Card,Picture,id
Nilfgaard,Albrich,https://vignette.wikia.nocookie.net/witcher/images/e/ec/Tw3_gwent_card_face_Albrich.png/revision/latest?cb=20160630124150,gwint_card_albrich
Monsters,Arachas (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/2/2d/Tw3_gwent_card_face_Arachas_1.png/revision/latest?cb=20160417100445,gwint_card_arachas
Monsters,Arachas (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/4/4c/Tw3_gwent_card_face_Arachas_3.png/revision/latest?cb=20160417100526,gwint_card_arachas1
Monsters,Arachas (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/8/8a/Tw3_gwent_card_face_Arachas_2.png/revision/latest?cb=20160417100526,gwint_card_arachas2
Monsters,Arachas Behemoth,https://vignette.wikia.nocookie.net/witcher/images/8/8e/Tw3_gwent_card_face_Arachas_Behemoth.png/revision/latest?cb=20160417101206,gwint_card_arachas_behemoth
Nilfgaard,Assire var Anahid,https://vignette.wikia.nocookie.net/witcher/images/1/19/Tw3_gwent_card_face_Assire_var_Anahid.png/revision/latest?cb=20160630124237,gwint_card_assire
Northern Realms,Ballista (1 of 2),https://vignette.wikia.nocookie.net/witcher/images/f/fd/Tw3_gwent_card_face_Ballista.png/revision/latest?cb=20160320084005,gwint_card_ballista
Northern Realms,Ballista (2 of 2),https://vignette.wikia.nocookie.net/witcher/images/0/02/Tw3_gwent_card_face_Ballista_2.png/revision/latest?cb=20180510193555,gwint_card_ballista2
Scoia'tael,Barclay Els,https://vignette.wikia.nocookie.net/witcher/images/9/9c/Tw3_gwent_card_face_Barclay_Els.png/revision/latest?cb=20160624125754,gwint_card_barclay
Neutral,Biting Frost,https://vignette.wikia.nocookie.net/witcher/images/2/2b/Tw3_gwent_card_face_Biting_Frost.png/revision/latest?cb=20151026174359,gwint_card_frost
