nazwa,komenda
Dye Default,additem('Dye Default')
Dye Black,additem('Dye Black')
Dye Blue,additem('Dye Blue')
Dye Brown,additem('Dye Brown')
Dye Gray,additem('Dye Gray')
Dye Green,additem('Dye Green')
Dye Orange,additem('Dye Orange')
Dye Pink,additem('Dye Pink')
Dye Purple,additem('Dye Purple')
Dye Red,additem('Dye Red')
Dye Turquoise,additem('Dye Turquoise')
Dye White,additem('Dye White')
Dye Yellow,additem('Dye Yellow')
Beast Oil 1,additem('Beast Oil 1')
Beast Oil 2,additem('Beast Oil 2')
Beast Oil 3,additem('Beast Oil 3')
Cursed Oil 1,additem('Cursed Oil 1')
Cursed Oil 2,additem('Cursed Oil 2')
Hanged Man Venom 2,additem('Hanged Man Venom 2')
Hanged Man Venom 3,additem('Hanged Man Venom 3')
Hybrid Oil 1,additem('Hybrid Oil 1')
Hybrid Oil 2,additem('Hybrid Oil 2')
Insectoid Oil 1,additem('Insectoid Oil 1')
Insectoid Oil 2,additem('Insectoid Oil 2')
Insectoid Oil 3,additem('Insectoid Oil 3')
Magicals Oil 2,additem('Magicals Oil 2')
Magicals Oil 3,additem('Magicals Oil 3')
Necrophage Oil 1,additem('Necrophage Oil 1')
Rune stribog lesser,additem('Rune stribog lesser')
Rune stribog,additem('Rune stribog')
Rune stribog greater,additem('Rune stribog greater')
Rune dazhbog lesser,additem('Rune dazhbog lesser')
Rune devana lesser,additem('Rune devana lesser')
Rune devana,additem('Rune devana')
Rune devana greater,additem('Rune devana greater')
Rune zoria lesser,additem('Rune zoria lesser')
Rune zoria,additem('Rune zoria')
Rune zoria greater,additem('Rune zoria greater')
Rune morana,additem('Rune morana')
Rune morana greater,additem('Rune morana greater')
Rune triglav,additem('Rune triglav')
Rune veles lesser,additem('Rune veles lesser')
Rune veles,additem('Rune veles')
Rune veles greater,additem('Rune veles greater')
Rune perun lesser,additem('Rune perun lesser')
Rune perun,additem('Rune perun')
Rune perun greater,additem('Rune perun greater')
Rune elemental lesser,additem('Rune elemental lesser')
Rune elemental,additem('Rune elemental')
Rune elemental greater,additem('Rune elemental greater')
Rune pierog,additem('Rune pierog')
Rune tvarog,additem('Rune tvarog')
Glyph igni,additem('Glyph igni')
Glyph yrden lesser,additem('Glyph yrden lesser')
Glyph binding lesser,additem('Glyph binding lesser')
Glyph binding,additem('Glyph binding')
Glyph binding greater,additem('Glyph binding greater')
Glyph warding lesser,additem('Glyph warding lesser')
Glyph warding,additem('Glyph warding')
Glyph warding greater,additem('Glyph warding greater')
Arbitrator,additem('Arbitrator')
Whetstone,additem('Whetstone')
Killer Whale 1,additem('Killer Whale 1')
Pops Antidote,additem('Pops Antidote')
mh107_czart_lure,additem('mh107_czart_lure')
fists,additem('fists')
Illusion Medallion,additem('Illusion Medallion')
Bodkin Bolt,additem('Bodkin Bolt')
Harpoon Bolt,additem('Harpoon Bolt')
Silver Dust Bomb 1,additem('Silver Dust Bomb 1')
Silver Dust Bomb 3,additem('Silver Dust Bomb 3')
mq1058_doll,additem('mq1058_doll')
q705_tissue_extractor,additem('q705_tissue_extractor')
Lesser mutagen green,additem('Lesser mutagen green')
Mutagen blue,additem('Mutagen blue')
Greater mutagen blue,additem('Greater mutagen blue')
q403_ciri_meteor,additem('q403_ciri_meteor')
Geralt fists,additem('Geralt fists')
fists_lightning_lynx,additem('fists_lightning_lynx')
mon_q704_cloud_giant_ep2_weapon,additem('mon_q704_cloud_giant_ep2_weapon')
mon_q701_giant_ep2_weapon,additem('mon_q701_giant_ep2_weapon')
bestiary_sharley_book,additem('bestiary_sharley_book')
bestiary_barghest_book,additem('bestiary_barghest_book')
bestiary_garkain_book,additem('bestiary_garkain_book')
bestiary_alp_book,additem('bestiary_alp_book')
bestiary_bruxa_book,additem('bestiary_bruxa_book')
bestiary_spriggan_book,additem('bestiary_spriggan_book')
bestiary_fleder_book,additem('bestiary_fleder_book')
bestiary_wight_book,additem('bestiary_wight_book')
bestiary_dracolizard_book,additem('bestiary_dracolizard_book')
bestiary_panther_book,additem('bestiary_panther_book')
bestiary_kikimore_book,additem('bestiary_kikimore_book')
bestiary_scolopendromorph_book,additem('bestiary_scolopendromorph_book')
mq7023_fluff_book_scolopendromorphs,additem('mq7023_fluff_book_scolopendromorphs')
bestiary_archespore_book,additem('bestiary_archespore_book')
bestiary_protofleder_book,additem('bestiary_protofleder_book')
Wolf Armor schematic,additem('Wolf Armor schematic')
Witcher Wolf Jacket Upgrade schematic 1,additem('Witcher Wolf Jacket Upgrade schematic 1')
Witcher Wolf Jacket Upgrade schematic 2,additem('Witcher Wolf Jacket Upgrade schematic 2')
Witcher Wolf Jacket Upgrade schematic 3,additem('Witcher Wolf Jacket Upgrade schematic 3')
Wolf Gloves schematic,additem('Wolf Gloves schematic')
Witcher Wolf Gloves Upgrade schematic 1,additem('Witcher Wolf Gloves Upgrade schematic 1')
Witcher Wolf Gloves Upgrade schematic 2,additem('Witcher Wolf Gloves Upgrade schematic 2')
Witcher Wolf Gloves Upgrade schematic 3,additem('Witcher Wolf Gloves Upgrade schematic 3')
Wolf Pants schematic,additem('Wolf Pants schematic')
Witcher Wolf Pants Upgrade schematic 1,additem('Witcher Wolf Pants Upgrade schematic 1')
Witcher Wolf Pants Upgrade schematic 2,additem('Witcher Wolf Pants Upgrade schematic 2')
Witcher Wolf Pants Upgrade schematic 3,additem('Witcher Wolf Pants Upgrade schematic 3')
Wolf Boots schematic,additem('Wolf Boots schematic')
Witcher Wolf Boots Upgrade schematic 1,additem('Witcher Wolf Boots Upgrade schematic 1')
Witcher Wolf Boots Upgrade schematic 2,additem('Witcher Wolf Boots Upgrade schematic 2')
Witcher Wolf Boots Upgrade schematic 3,additem('Witcher Wolf Boots Upgrade schematic 3')
Wolf School steel sword schematic,additem('Wolf School steel sword schematic')
Wolf School steel sword Upgrade schematic 1,additem('Wolf School steel sword Upgrade schematic 1')
Wolf School steel sword Upgrade schematic 2,additem('Wolf School steel sword Upgrade schematic 2')
Wolf School steel sword Upgrade schematic 3,additem('Wolf School steel sword Upgrade schematic 3')
Wolf School silver sword schematic,additem('Wolf School silver sword schematic')
Wolf School silver sword Upgrade schematic 1,additem('Wolf School silver sword Upgrade schematic 1')
Wolf School silver sword Upgrade schematic 2,additem('Wolf School silver sword Upgrade schematic 2')
Wolf School silver sword Upgrade schematic 3,additem('Wolf School silver sword Upgrade schematic 3')
NGP Wolf Armor schematic,additem('NGP Wolf Armor schematic')
NGP Witcher Wolf Jacket Upgrade schematic 1,additem('NGP Witcher Wolf Jacket Upgrade schematic 1')
NGP Witcher Wolf Jacket Upgrade schematic 2,additem('NGP Witcher Wolf Jacket Upgrade schematic 2')
NGP Witcher Wolf Jacket Upgrade schematic 3,additem('NGP Witcher Wolf Jacket Upgrade schematic 3')
NGP Wolf Gloves schematic,additem('NGP Wolf Gloves schematic')
NGP Witcher Wolf Gloves Upgrade schematic 1,additem('NGP Witcher Wolf Gloves Upgrade schematic 1')
NGP Witcher Wolf Gloves Upgrade schematic 2,additem('NGP Witcher Wolf Gloves Upgrade schematic 2')
NGP Witcher Wolf Gloves Upgrade schematic 3,additem('NGP Witcher Wolf Gloves Upgrade schematic 3')
NGP Wolf Pants schematic,additem('NGP Wolf Pants schematic')
NGP Witcher Wolf Pants Upgrade schematic 1,additem('NGP Witcher Wolf Pants Upgrade schematic 1')
NGP Witcher Wolf Pants Upgrade schematic 2,additem('NGP Witcher Wolf Pants Upgrade schematic 2')
NGP Witcher Wolf Pants Upgrade schematic 3,additem('NGP Witcher Wolf Pants Upgrade schematic 3')
NGP Wolf Boots schematic,additem('NGP Wolf Boots schematic')
NGP Witcher Wolf Boots Upgrade schematic 1,additem('NGP Witcher Wolf Boots Upgrade schematic 1')
NGP Witcher Wolf Boots Upgrade schematic 2,additem('NGP Witcher Wolf Boots Upgrade schematic 2')
NGP Witcher Wolf Boots Upgrade schematic 3,additem('NGP Witcher Wolf Boots Upgrade schematic 3')
